ItemCode,ItemName,Quantity,Total,Total Sale Value,Total Transactions
8961008211206,NES FV GUAVA 1LTR-,7,2450,,
8961014023206,WALLS COOKIES CREME 1L-,4,1800,,
8961008216034,NESTLE CERELACE NATURE 175GM,5,2600,,
8961014240016,FAIR LOVELY SOAP,3,210,,
50189205,NESTLE KIT KAT 36X 2F,9,1080,,
8961008213187,NES MILO ACTIVE GO 180ML-,4,360,,
8961008216263,NES FV PINEAPPLE 1LTR-,10,4500,,
8961014050530,WALLS MANGO CUP 100ML,1,60,,
8961008210162,NESTLE LACTOGEN 1 800GM,2,3940,,
8961008209852,NES NESFRUTA MANGO 200ML-,8,480,,
8961014008708,WALLS MAGNUM CHOLT STRW,4,440,,
8690632000756,NESTLE KOKO KRUNCH 250G,6,3420,,
8961008216140,NES FV RED ANNAR 1LTR-,6,2700,,
8961014020496,CUSTARD VANILA RAFHAN,3,300,,
8961014012538,FAIR LOVELY C-C 70ML,2,400,,
8961008213415,NESTLE MILK PAK 250ML.,6,450,,
8961014017571,WALLS FEAST CHOCOLATE-,2,200,,
8961008203027,NESTLE PLAIN YOGURT 400G,4,960,,
8961014241938,LIFEBUOY NATURALLY LONG 90ML,4,396,,
8961008212296,NESTLE WATER 5LTR,5,1300,,
8961008221151,NES NIDO 1+ 375GM,1,840,,
8961008214047,NESTLE LACTOGROW 3 200G-,9,5400,,
8961014246926,LIFEBUOY SHAMPOO 650ML-,1,975,,
8961008213392,NESTLE MILK PAK 1LTR,8,2240,,
8961014032284,WALLS CORNETTO CD CONE,10,1600,,
7613035509726,NESTLE KIT KAT 24X4F,11,2750,,
5063305004277,LIPTON JAR 140GM,2,900,,
8961008213927,NES FV ORANGE 1LTR-,10,4000,,
8961014014198,WALLS CORNETTO FB CONE-,11,1320,,
8961008212418,NESTLE RAITA 250GM ALL,3,480,,
8961008219974,NESTLE LACTOGROW3 200GM,14,8400,,
8961008213095,NESTLE EVER+TAPAL 250GM,3,675,,
8961008220758,MILK PAK ACTIVE 1L,11,3080,,
8961014189223,KNORR CHICKEN YAKHNI 20GM,3,105,,
8961014012859,CORNETTO COOKIES,6,450,,
8961014002768,WALLS MAGNUM CLASSIC 90ML,11,3080,,
8961014004595,WALLS KING KULFA BIG SLICE,2,140,,
8961008221076,NESTLE FV PINE APPLE 230ML,9,1350,,
8961014261103,LIFEBUOY 650ML,2,1950,,
8961014030471,KNORR CHICKEN FP 6PCS-,5,2000,,
8961014037135,KNORR KETCHUP 400GM-,8,2080,,
8961014050035,WALLS STICK JET SPOT,1,25,,
8961008211916,NESTLE NIDO 3+ 400GM,2,1700,,
8961014003949,SUNSILK CONDITIONER 180ML-,1,450,,
8961008221014,NESTLE LACTOGEN 2 200G-,7,4200,,
8961014246810,LIFEBUOY HERBAL STRONG 90ML,3,420,,
8961014021561,KNORR SAUCE CG 400G-,1,260,,
8961014247954,LIFEBOY HAND SANITIZER 65ML,3,450,,
8961008212470,NESTLE EVERYDAY org 350GM-,2,1440,,
4800361002851,NESTLE KOKO KRUCH 150GM,3,2250,,
8961008211220,NES FV APPLE 1LTR-,4,1400,,
8961008219882,NES MILO PET BOTTLE 220ML-,9,1440,,
8961014032475,WALL K KULFA HALF,8,2160,,
8961014014815,KNORR SAUCE CG 300GM,2,230,,
8961008215976,NES FV LIME CAN 250ML-,2,260,,
8961008212289,NESTLE WATER 1.5LTR,4,400,,
8961008213453,LACTOGEN1 HAPPY SMOOTH800G,2,2200,,
8961014014440,KNORR CHATT PATTA 66GM-,1,50,,
8961014248951,PONDS BB DAY CREAM 50GM-,2,900,,
8961014001143,LIFEBUOY HAND WASH 130ML,1,170,,
8961008213491,NESTLE LACTOGEN RECOVER 200G,1,800,,
8961014255782,LIFEBUOY WITH VITAMINS 200ML,4,1000,,
8961014236828,FAIR LOVELY FW 50G-,1,200,,
8961014236880,FAIR LOVELY MEN FW 50G-,1,200,,
8961014236798,FAIR LOVELY MV 50G-,2,600,,
8961014017502,KNORR CHICKEN NODDLE 66GM-,1,75,,
8961008217994,NESTLE EVERYDAY POWDER 560G,1,1130,,
8961014235128,DOVE S-S 360ML,3,1140,,
8961014186451,ENERGILE 100GM,2,180,,
8961014235210,DOVE D-SHINE 360ML-,2,800,,
8961014235173,DOVE SHAMPOO 175ML-,1,450,,
8961008211633,NESTLE BUNYAD 260GM,3,1200,,
8961014018226,RAFHAN BANANA CUST 275G,3,570,,
8961008214191,NESTLE BUTTER 100G,3,810,,
8961014241259,LIFEBUOY HERBAL 146GM-,2,230,,
8961014242348,TRESEMME SHAMPOO 170ML-,1,470,,
8961014241112,FAIR-LOVELY ANTI PIMPLE FACE WASH 50GM,2,240,,
8961014051957,PONDS FACE WASH 100GM-,2,980,,
8961008212265,NESTLE WATER 330ML,2,80,,
8961014023008,KNORR BLAZIN NOODLES 2X,3,570,,
8961008211183,NES FV PEACH 1LTR-,2,700,,
8961014246827,LIFEBOY HERBAL STRONG 375ML,2,1000,,
8961014186369,GLAXOS-D 400GM,2,560,,
8961014248029,SUNSILK SHAMPOO 360ML-,1,720,,
8961014240009,FAIR LOVELY SOAP MULTI VIT,2,120,,
8961014242454,TRESEME 160ML,3,1440,,
8961014255652,DOVE COND 180ML-,2,960,,
,,,,366976,330
